nom,street,postal_code,city,latitude,longitude,geocode_score,statut,objet,siret,mots_cles
LES AMIS DU P'TIT MARCHE,9 BD Frederic Latouche,71400,Autun,46.952139,4.302631,0.7608,Active,optimiser et coordonner les aides alimentaires accordées aux famille en difficulté,44754042800045,aide alimentaire
ASSOCIATION DES JEUNES DES PRES ST JEAN,2 RUE Paul Eluard,71100,Chalon-sur-Saône,46.797217,4.863992,0.9678,Active,"réunir toutes les catégories sociales autour d'activités socio-culturelles, mais aussi de réunir des personnes de confession musulmane afin de leur apporter un enseignement culturel fondé sur les bases de l'Islam, à savoir : sensibiliser les jeunes au civisme et au bon comportement ; leur apprendre la langue arabe ;  leur faire découvrir la culture musulmane ; nous avons aussi comme objectif d'organiser des aides aux devoirs pour les jeunes en difficulté dans leur scolarité ; aides alimentaires et autres aux personnes nécessiteuses et démunies ; aides aux personnes analphabètes dans leurs démarches administratives",,aide alimentaire
3A AUSE,9 RUE de Thalie,71100,Chalon-sur-Saône,46.78007,4.851735,0.8891,Active,"rapprocher les producteurs des consommateurs en créant du lien social et de la solidarité ; permettre de créer de l'emploi et du service à la personne par toute action ; alerter et sensibiliser nos concitoyens sur le gaspillage alimentaire et tenter ensemble d'y remédier ; action anti-gaspillage alimentaire, matériel, cartons, caisses, bois, palettes, etc... ; respecter la nature et la planète pour le bien de l'univers ; aide alimentaire et différents services aux personnes dans le besoin ; organiser notamment toutes manifestations publiques telles que des opérations de promotions, colloques ou publicités etc... afin de réaliser tous ces buts",,aide alimentaire
CLUB DES HUMANITAIRES DU SOUTIEN SCOLAIRE (CHSS),33 bis QUAI Gauthey,71300,Montceau-les-Mines,46.669567,4.356964,0.9010,Active,"se servir des arts de la culture pour rassembler des volontaires de l'éducation, de la formation civique, sociale et professionnelle, afin de mettre en oeuvre des programmes d'action en faveur du soutien scolaire ; participer à divers programmes d'éducation en situation de précarité ; participer sans contre partie à la fourniture d'aides alimentaires, de logements et à la santé des élèves, étudiants ou stagiaires en grande difficulté ; participer à l'organisation de cours particuliers en complément de l'action des pouvoirs publics, afin de permettre à des cas particuliers de difficulté scolaire de rattraper leur retard, ou des cas d'individus plus adaptés à parfaire leurs ambitions",,aide alimentaire
PARRAINS DE L'ESPOIR FRANCENEGAL,21C RUE Vigne Renard,71380,Châtenoy-en-Bresse,46.788298,4.922245,0.9538,Active,"scolarisation des enfants, aides alimentaires, aides au logement, aides financières aux soins et plus généralement toutes opérations mobilières ou immobilières, financières et diverses manifestations pouvant se rattacher directement ou indirectement à l'objet social ou susceptibles d'en faciliter l'extension ou le développement",,aide alimentaire
IMPACT CENTRE APOSTOLIQUE,6 RUE HENRI BEQUEREL,71100,Chalon-sur-Saône,46.815908,4.85475,0.7749,Active,"organisation de réunions, conférences, débats, réflexions rassemblements cultuels et entre autre chrétienne, aide alimentaire, vestimentaire au niveau local sans hébergement, accueil de nouveau arrivants, venir en aide aux orphelins, les veuves, les malades dans les pays défavoriser dans le monde.
Organisation des spectacles à caractère public ou privé, formation et entre autre chrétienne, activités sportives, éducatives, détentes, danse, chant",,aide alimentaire
JARDIN SOLIDAIRE YGGDRASIL,33 IMP des Jargillets,71390,Buxy,46.714833,4.706033,0.7279,Active,cultiver et favoriser l'achat de fruits et légumes frais aux foyers bénéficiants de l'aide alimentaire et aux adhérents bénévoles ; favoriser le lien social entre les habitants du village de Buxy,,aide alimentaire
LE CAGEOT SOLIDAIRE,12 Grande Rue,71390,Fley,46.669822,4.640518,0.9429,Active,"apporter différente aide comme l'aide alimentaire ou matériel, réduire le gaspillage, développer des animations individuelles ou collectives proposée par des membres de l'association",,aide alimentaire
ASSOCIATION EUFONIA,2 IMP Alain Gerbault,71100,Chalon-sur-Saône,46.807516,4.851345,0.8456,Active,"collecter et vente articles et produits, réalisation missions de bénévolat pour la
Commune, création groupe musical gospel, proposition activités sportives de loisirs, partage biblique, missions et actions humanitaire, banque alimentaire",,banque alimentaire
LA BOUTIQUE ALIMENTAIRE,Mairie,71130,Gueugnon,46.594633,4.057848,0.6258,Active,"optimiser et coordonner les aides alimentaires accordées aux familles en difficultés ; offrir un espace d'accueil, d'écoute, d'information, d'échange ; mener à partir de l'aide alimentaire des actions de type éducatif (alimentation, santé, hygiène, budget, choix des aliments) ; mettre en place des ateliers d'accompagnement social",,aide alimentaire
LA MOSQUEE DE CHAUFFAILLES,,71170,Chauffailles,46.204626,4.340862,0.9414,Active,"l'association a pour objet de : 1 ; favoriser le développement culturel : organisation de conférences, ateliers, événements et activités de sensibilisation ; 2 ; offrir un cadre cultuel : exercice du culte musulman, la conduite d'activités telles que l'acquisition, la location, la construction, l'aménagement et l'entretien d'un édifice pour y permettre l'exercice public du culte, la mise à disposition d'un lieu de prière et l'organisation d'activités religieuses dans le respect des lois en vigueur
3 ; développer des actions de solidarité et d'entraide : aide aux personnes en difficulté, soutien scolaire, distribution alimentaire et accompagnement social ; 4 ; gérer des activités économiques à but non lucratif permettant de soutenir les objectifs sociaux et culturels de l'association, sans recherche de profit individuel ; 5 ; l'association n'est affiliée à aucune mouvance religieuse ou politique ; 6 ; l'association n'est affiliée à aucun pays étranger ;",92094277800019,distribution alimentaire
DIGOIN-SOLIDARITE,,71160,Digoin,46.490552,4.02482,0.9446,Active,"fédérer deux ateliers de travail :
-atelier vestiaire-lingerie
-boutique alimentaire
ces ateliers doivent apporter une aide matérielle aux familles digoinaises les plus démunies;
apporter grâce à la banque alimentaire une aide alimentaire aux familles du canton de Digoin ;
aider par le biais de contrats aidés certaines personnes bénéficiaires des minima sociaux à entrer dans la vie du travail, en les responsabilisant (couture, travaux domestiques, secrétariat...)",,aide alimentaire | banque alimentaire
